edicao,opcao,elegiveis,selecionaram,pct_adocao,categoria
2023-2024,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,823,126.0,15.3,motivos_para_nao_usar_ia
2023-2024,preocupacoes_com_propriedade_intelectual,823,121.0,14.7,motivos_para_nao_usar_ia
2023-2024,incerteza_em_relacao_a_regulamentacao,823,119.0,14.5,motivos_para_nao_usar_ia
2023-2024,alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,823,89.0,10.8,motivos_para_nao_usar_ia
2024-2025,falta_de_compreensao_dos_casos_de_uso,974,334.0,34.3,motivos_para_nao_usar_ia
2024-2025,falta_de_expertise_ou_falta_de_recursos,974,328.0,33.7,motivos_para_nao_usar_ia
2024-2025,preocupacoes_com_seguranca_e_privacidade_de_dados,974,314.0,32.2,motivos_para_nao_usar_ia
2024-2025,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,974,289.0,29.7,motivos_para_nao_usar_ia
2024-2025,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,974,249.0,25.6,motivos_para_nao_usar_ia
2024-2025,falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,974,173.0,17.8,motivos_para_nao_usar_ia
2024-2025,incerteza_em_relacao_a_regulamentacao,974,124.0,12.7,motivos_para_nao_usar_ia
2024-2025,preocupacoes_com_propriedade_intelectual,974,123.0,12.6,motivos_para_nao_usar_ia
2024-2025,alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,974,88.0,9.0,motivos_para_nao_usar_ia
2025-2026,falta_de_expertise_ou_falta_de_recursos,587,228.0,38.8,motivos_para_nao_usar_ia
2025-2026,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,587,216.0,36.8,motivos_para_nao_usar_ia
2025-2026,falta_de_compreensao_dos_casos_de_uso,587,188.0,32.0,motivos_para_nao_usar_ia
2025-2026,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,587,167.0,28.4,motivos_para_nao_usar_ia
2025-2026,preocupacoes_com_seguranca_e_privacidade_de_dados,587,163.0,27.8,motivos_para_nao_usar_ia
2025-2026,falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,587,100.0,17.0,motivos_para_nao_usar_ia
2025-2026,incerteza_em_relacao_a_regulamentacao,587,58.0,9.9,motivos_para_nao_usar_ia
2025-2026,preocupacoes_com_propriedade_intelectual,587,54.0,9.2,motivos_para_nao_usar_ia
2025-2026,alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,587,44.0,7.5,motivos_para_nao_usar_ia
